,trial_id,transformer_name,dataset_name,classifier_score,time_transform_train,time_transform_test,time_train,time_total,size_train,size_test,len_train,len_test,n_classes
0,0,rocket,ACSF1,0.88,13.752853155136108,10.621080160140991,33.21715307235718,56.16578722000122,100,100,1460,1460,10
1,0,rocket,ArrowHead,0.84,4.027347564697266,8.80322551727295,11.473241567611694,33.913788080215454,36,175,251,251,3
2,0,rocket,Beef,0.8,4.828861951828003,3.9743621349334717,11.482965230941772,27.29857063293457,30,30,470,470,5
3,0,rocket,BeetleFly,0.8,3.4940297603607178,4.343333959579468,10.829620599746704,28.84767174720764,20,20,512,512,2
4,0,rocket,BirdChicken,0.8,4.20307183265686,4.601548433303833,11.058154582977295,24.18799638748169,20,20,512,512,2
5,0,rocket,BME,0.9933333333333333,5.335136651992798,5.211969375610352,11.274595737457275,29.94172763824463,30,150,128,128,3
6,0,rocket,Car,0.9333333333333333,7.3947014808654785,6.80262303352356,13.35484266281128,33.729265451431274,60,60,577,577,4
7,0,rocket,CBF,0.9977777777777778,4.485486745834351,20.954524755477905,11.88324522972107,52.25796866416931,30,900,128,128,3
8,0,rocket,Chinatown,0.9795918367346939,3.0611705780029297,7.929739475250244,9.10061001777649,31.48383116722107,20,343,24,24,2
9,0,rocket,Coffee,1.0,3.6585395336151123,4.4972145557403564,11.030335903167725,31.20258903503418,28,28,286,286,2
10,0,rocket,Computers,0.74,13.813851833343506,18.108808517456055,34.33416223526001,65.77784442901611,250,250,720,720,2
11,0,rocket,DiatomSizeReduction,0.9477124183006536,3.4337973594665527,11.717085123062134,11.227639198303223,33.98726511001587,16,306,345,345,4
12,0,rocket,DistalPhalanxOutlineAgeGroup,0.7482014388489209,9.986248254776001,4.642521381378174,34.420372009277344,50.58125448226929,400,139,80,80,3
13,0,rocket,DistalPhalanxOutlineCorrect,0.7681159420289855,5.0533740520477295,6.619105100631714,31.93756866455078,50.36962294578552,600,276,80,80,2
