,trial_id,transformer_name,dataset_name,classifier_score,time_transform_train,time_transform_test,time_train,time_total,size_train,size_test,len_train,len_test,n_classes
0,0,minirocket,ACSF1,0.91,0.7337379455566406,1.9511888027191162,40.47063326835632,49.04285287857056,100,100,1460,1460,10
1,0,minirocket,ArrowHead,0.8571428571428571,0.7779512405395508,1.5024995803833008,41.308748722076416,48.46673631668091,36,175,251,251,3
2,0,minirocket,Beef,0.8333333333333334,0.2433333396911621,0.4177541732788086,35.24069952964783,37.1480770111084,30,30,470,470,5
3,0,minirocket,BeetleFly,0.9,1.8558743000030518,1.16682767868042,46.94189810752869,51.322168588638306,20,20,512,512,2
4,0,minirocket,BirdChicken,0.75,1.1721179485321045,1.7410686016082764,41.30458688735962,46.73985266685486,20,20,512,512,2
5,0,minirocket,BME,0.9866666666666667,1.050025463104248,0.3613584041595459,52.767228841781616,54.44002938270569,30,150,128,128,3
6,0,minirocket,Car,0.8833333333333333,0.5151634216308594,0.9362668991088867,37.41308045387268,40.98304224014282,60,60,577,577,4
7,0,minirocket,CBF,0.9988888888888889,0.3940112590789795,1.8198044300079346,37.103962421417236,46.213497161865234,30,900,128,128,3
8,0,minirocket,Chinatown,0.9708454810495627,1.6073534488677979,0.9745223522186279,46.61791634559631,51.47395586967468,20,343,24,24,2
9,0,minirocket,Coffee,1.0,1.0070059299468994,0.3127315044403076,52.927220582962036,54.230185985565186,28,28,286,286,2
10,0,minirocket,Computers,0.74,0.7967607975006104,0.5843527317047119,62.1780891418457,64.59623885154724,250,250,720,720,2
11,0,minirocket,DiatomSizeReduction,0.8856209150326797,1.4921939373016357,1.1048760414123535,45.98265767097473,51.993786096572876,16,306,345,345,4
12,0,minirocket,DistalPhalanxOutlineAgeGroup,0.7338129496402878,0.4701721668243408,0.5494105815887451,58.59934663772583,61.34512424468994,400,139,80,80,3
13,0,minirocket,DistalPhalanxOutlineCorrect,0.7681159420289855,0.6058588027954102,0.4523770809173584,57.869593381881714,60.15510058403015,600,276,80,80,2
14,0,minirocket,DodgerLoopDay,0.6,1.0325374603271484,0.8560938835144043,46.1525981426239,49.85254383087158,78,80,288,288,7
15,0,minirocket,DodgerLoopGame,0.855072463768116,0.19321846961975098,0.13520216941833496,33.83244466781616,34.522069454193115,20,138,288,288,2
16,0,minirocket,DodgerLoopWeekend,0.9710144927536232,1.1425960063934326,1.3185489177703857,45.74885177612305,51.01173996925354,20,138,288,288,2
17,0,minirocket,Earthquakes,0.7482014388489209,0.5384359359741211,0.30380940437316895,61.352986574172974,63.01964712142944,322,139,512,512,2
18,0,minirocket,ECG200,0.9,0.4606306552886963,0.3136124610900879,58.295729637145996,60.099101543426514,100,100,96,96,2
19,0,minirocket,ECGFiveDays,0.9965156794425087,0.9199321269989014,2.004396438598633,37.89918279647827,47.15046572685242,23,861,136,136,2
20,0,minirocket,FaceFour,0.9772727272727273,0.8348724842071533,1.6629784107208252,40.59435415267944,46.8764328956604,24,88,350,350,4
21,0,minirocket,Fish,0.9657142857142857,1.502298355102539,1.7252955436706543,46.87775993347168,52.62614417076111,175,175,463,463,7
22,0,minirocket,Fungi,0.7204301075268817,0.22356057167053223,1.1102769374847412,35.232295513153076,38.31972575187683,18,186,201,201,18
23,0,minirocket,GunPoint,0.9933333333333333,0.9680569171905518,0.9949116706848145,38.05700659751892,42.592649698257446,50,150,150,150,2
24,0,minirocket,GunPointAgeSpan,0.9873417721518988,0.3901255130767822,0.9064943790435791,63.35333490371704,67.88056898117065,135,316,150,150,2
25,0,minirocket,GunPointMaleVersusFemale,1.0,1.5866703987121582,1.6723299026489258,69.31764340400696,78.2186176776886,135,316,150,150,2
26,0,minirocket,GunPointOldVersusYoung,1.0,1.4914758205413818,2.8560588359832764,71.40426397323608,78.85911536216736,136,315,150,150,2
27,0,minirocket,Ham,0.6952380952380952,0.2884185314178467,0.6434857845306396,55.218505859375,57.97174572944641,109,105,431,431,2
28,0,minirocket,Herring,0.65625,1.7797574996948242,1.6364471912384033,67.37505888938904,74.88251614570618,64,64,512,512,2
29,0,minirocket,HouseTwenty,0.9411764705882353,1.0264039039611816,1.734145164489746,57.542349338531494,68.58048844337463,40,119,2000,2000,2
30,0,minirocket,InsectEPGRegularTrain,1.0,1.5354456901550293,1.9694774150848389,62.890716314315796,70.69455671310425,62,249,601,601,3
31,0,minirocket,InsectEPGSmallTrain,0.9678714859437751,1.7415492534637451,2.4043562412261963,59.63039994239807,70.65053653717041,17,249,601,601,3
32,0,minirocket,ItalyPowerDemand,0.9640427599611273,0.7795560359954834,1.4083936214447021,53.78396534919739,62.01264190673828,67,1029,24,24,2
33,0,minirocket,Lightning2,0.7377049180327869,0.3039073944091797,0.21579217910766602,47.3712158203125,49.174463987350464,60,61,637,637,2
34,0,minirocket,Lightning7,0.8082191780821918,0.4267704486846924,0.7920916080474854,47.08826017379761,49.94559144973755,70,73,319,319,7
35,0,minirocket,Meat,1.0,0.8062973022460938,0.6554985046386719,48.57162308692932,53.25505828857422,60,60,448,448,3
36,0,minirocket,MiddlePhalanxOutlineAgeGroup,0.6493506493506493,2.004262924194336,0.9072384834289551,64.79530334472656,69.23053669929504,400,154,80,80,3
37,0,minirocket,MiddlePhalanxOutlineCorrect,0.8384879725085911,1.2607126235961914,1.248485803604126,53.85693335533142,61.23185729980469,600,291,80,80,2
38,0,minirocket,MoteStrain,0.8945686900958466,1.1115977764129639,2.163907527923584,55.67561984062195,67.50516319274902,20,1252,84,84,2
