,trial_id,transformer_name,dataset_name,classifier_score,time_transform_train,time_transform_test,time_train,time_total,size_train,size_test,len_train,len_test,n_classes
0,0,minirocket,ACSF1,0.92,0.06484150886535645,0.0572514533996582,3.0354764461517334,3.5205843448638916,100,100,1460,1460,10
1,1,minirocket,ACSF1,0.91,0.05977463722229004,0.05707669258117676,1.560628890991211,2.0402374267578125,100,100,1460,1460,10
2,2,minirocket,ACSF1,0.91,0.059212446212768555,0.0537257194519043,1.773425817489624,2.2484188079833984,100,100,1460,1460,10
3,3,minirocket,ACSF1,0.91,0.05900216102600098,0.04771280288696289,1.7677090167999268,2.2381551265716553,100,100,1460,1460,10
4,4,minirocket,ACSF1,0.91,0.05797147750854492,0.06896257400512695,1.8643438816070557,2.355705976486206,100,100,1460,1460,10
5,0,minirocket,ArrowHead,0.84,0.004616975784301758,0.01596856117248535,1.304403305053711,1.6996028423309326,36,175,251,251,3
6,1,minirocket,ArrowHead,0.8514285714285714,0.007378339767456055,0.029475688934326172,2.366551399230957,2.8450708389282227,36,175,251,251,3
7,2,minirocket,ArrowHead,0.84,0.004959821701049805,0.02526116371154785,1.6366007328033447,2.0404632091522217,36,175,251,251,3
8,3,minirocket,ArrowHead,0.8628571428571429,0.004613399505615234,0.018263578414916992,1.1351346969604492,1.5194671154022217,36,175,251,251,3
9,4,minirocket,ArrowHead,0.84,0.00867152214050293,0.022017240524291992,1.3644509315490723,1.7526023387908936,36,175,251,251,3
10,0,minirocket,Beef,0.8333333333333334,0.006647348403930664,0.005646944046020508,1.1541008949279785,1.4767117500305176,30,30,470,470,5
11,1,minirocket,Beef,0.8333333333333334,0.006484270095825195,0.008576154708862305,1.1614940166473389,1.4877355098724365,30,30,470,470,5
12,2,minirocket,Beef,0.8333333333333334,0.009603738784790039,0.005900859832763672,1.679274559020996,2.002108097076416,30,30,470,470,5
13,3,minirocket,Beef,0.8333333333333334,0.0064809322357177734,0.005959510803222656,1.2278039455413818,1.5502641201019287,30,30,470,470,5
14,4,minirocket,Beef,0.8333333333333334,0.0064733028411865234,0.005579471588134766,1.145200252532959,1.4670865535736084,30,30,470,470,5
15,0,minirocket,BeetleFly,0.9,0.005280494689941406,0.004641294479370117,1.1624042987823486,1.4642457962036133,20,20,512,512,2
16,1,minirocket,BeetleFly,0.95,0.005245685577392578,0.004593372344970703,1.1765241622924805,1.4782993793487549,20,20,512,512,2
17,2,minirocket,BeetleFly,0.9,0.005264759063720703,0.004596710205078125,1.1581494808197021,1.4597370624542236,20,20,512,512,2
18,3,minirocket,BeetleFly,0.9,0.006011486053466797,0.0046041011810302734,1.3893215656280518,1.690711259841919,20,20,512,512,2
19,4,minirocket,BeetleFly,0.9,0.005651712417602539,0.004605293273925781,1.7108542919158936,2.012575387954712,20,20,512,512,2
20,0,minirocket,BirdChicken,0.75,0.0057201385498046875,0.0045909881591796875,1.1517879962921143,1.4536731243133545,20,20,512,512,2
21,1,minirocket,BirdChicken,0.75,0.005242824554443359,0.004616498947143555,1.1700804233551025,1.471940279006958,20,20,512,512,2
22,2,minirocket,BirdChicken,0.75,0.005240440368652344,0.004612445831298828,1.1735682487487793,1.47562575340271,20,20,512,512,2
23,3,minirocket,BirdChicken,0.75,0.0052433013916015625,0.004584550857543945,1.1682651042938232,1.4704201221466064,20,20,512,512,2
24,4,minirocket,BirdChicken,0.75,0.0052340030670166016,0.004582643508911133,1.1706640720367432,1.4718599319458008,20,20,512,512,2
25,0,minirocket,BME,0.9866666666666667,0.0023632049560546875,0.007894515991210938,1.097132682800293,1.4509217739105225,30,150,128,128,3
26,1,minirocket,BME,0.9866666666666667,0.0023746490478515625,0.007842779159545898,1.1676709651947021,1.5230681896209717,30,150,128,128,3
27,2,minirocket,BME,0.9933333333333333,0.0037937164306640625,0.009362220764160156,1.4420011043548584,1.7976887226104736,30,150,128,128,3
28,3,minirocket,BME,0.9933333333333333,0.004014253616333008,0.011794567108154297,1.105372667312622,1.5001118183135986,30,150,128,128,3
29,4,minirocket,BME,0.9866666666666667,0.003419160842895508,0.008257627487182617,1.6434755325317383,1.9984817504882812,30,150,128,128,3
30,0,minirocket,Car,0.8833333333333333,0.014226198196411133,0.013605117797851562,1.4350380897521973,1.7852067947387695,60,60,577,577,4
31,1,minirocket,Car,0.8833333333333333,0.013796329498291016,0.011291265487670898,1.6504249572753906,1.9978466033935547,60,60,577,577,4
32,2,minirocket,Car,0.8833333333333333,0.013814449310302734,0.01123046875,1.7005090713500977,2.0489938259124756,60,60,577,577,4
33,3,minirocket,Car,0.8833333333333333,0.02586841583251953,0.012660980224609375,1.3851068019866943,1.7338993549346924,60,60,577,577,4
34,4,minirocket,Car,0.8833333333333333,0.013748645782470703,0.011414766311645508,1.4066762924194336,1.7553794384002686,60,60,577,577,4
35,0,minirocket,CBF,0.9977777777777778,0.002414703369140625,0.06195068359375,1.0954005718231201,1.8067526817321777,30,900,128,128,3
36,1,minirocket,CBF,0.9977777777777778,0.002417325973510742,0.05623316764831543,2.1193039417266846,2.9525997638702393,30,900,128,128,3
37,2,minirocket,CBF,0.9988888888888889,0.002427816390991211,0.06502628326416016,1.7302544116973877,2.4193532466888428,30,900,128,128,3
38,3,minirocket,CBF,0.9988888888888889,0.002418041229248047,0.06754088401794434,1.6018011569976807,2.2913522720336914,30,900,128,128,3
39,4,minirocket,CBF,0.9988888888888889,0.0024232864379882812,0.057334184646606445,1.7255091667175293,2.4152469635009766,30,900,128,128,3
40,0,minirocket,Chinatown,0.9708454810495627,0.0017731189727783203,0.015109777450561523,1.801177978515625,2.208484172821045,20,343,24,24,2
41,1,minirocket,Chinatown,0.9708454810495627,0.0014674663543701172,0.011477231979370117,1.2618303298950195,1.656468152999878,20,343,24,24,2
42,2,minirocket,Chinatown,0.9708454810495627,0.0014612674713134766,0.011859893798828125,1.027087688446045,1.4211337566375732,20,343,24,24,2
43,3,minirocket,Chinatown,0.9708454810495627,0.0014605522155761719,0.011771202087402344,1.0214412212371826,1.4146292209625244,20,343,24,24,2
44,4,minirocket,Chinatown,0.9708454810495627,0.0014579296112060547,0.012033462524414062,1.0152313709259033,1.4069664478302002,20,343,24,24,2
45,0,minirocket,Coffee,1.0,0.004547595977783203,0.0040204524993896484,1.1163506507873535,1.4328906536102295,28,28,286,286,2
46,1,minirocket,Coffee,1.0,0.0045244693756103516,0.004015922546386719,1.1415431499481201,1.458277702331543,28,28,286,286,2
47,2,minirocket,Coffee,1.0,0.004512310028076172,0.004029273986816406,1.1165835857391357,1.4330484867095947,28,28,286,286,2
48,3,minirocket,Coffee,1.0,0.0045337677001953125,0.0040378570556640625,1.124279260635376,1.4410014152526855,28,28,286,286,2
49,4,minirocket,Coffee,1.0,0.00450444221496582,0.004037380218505859,1.1194865703582764,1.436934232711792,28,28,286,286,2
50,0,minirocket,Computers,0.736,0.07517433166503906,0.06086373329162598,1.9279406070709229,2.4691319465637207,250,250,720,720,2
51,1,minirocket,Computers,0.744,0.06599974632263184,0.06023883819580078,1.3924524784088135,1.9295322895050049,250,250,720,720,2
52,2,minirocket,Computers,0.74,0.06546235084533691,0.08162903785705566,2.277191162109375,2.8276078701019287,250,250,720,720,2
53,3,minirocket,Computers,0.76,0.06465530395507812,0.07263302803039551,1.7495744228363037,2.294834852218628,250,250,720,720,2
54,4,minirocket,Computers,0.724,0.06456971168518066,0.05242276191711426,1.3605191707611084,1.8864052295684814,250,250,720,720,2
